vin,brand,model,year,color
WBAKG1C57CJ635228,Ford,Country,1967,Fuscia
WBA3T3C50EJ245411,Hyundai,Elantra,1993,Fuscia
5N1AZ2MH0FN336423,GMC,Envoy XL,2003,Fuscia
1C4RDHDG6EC982060,Chevrolet,G-Series G30,1992,Khaki
1GD11ZCG8DF030635,Acura,TL,1995,Purple
WBADT33432G408265,Honda,Accord,1988,Purple
SCFAB42353K738027,Cadillac,Fleetwood,1995,Khaki
1G6DK5EV4A0661144,Mercedes-Benz,500SEL,1992,Maroon
19UUA8F24DA369502,Eagle,Talon,1995,Fuscia
1C6RD6FK2CS521521,Volkswagen,GTI,1989,Puce
YV4902DZ7E2336703,Lotus,Esprit,1996,Blue
3C3CFFCR8DT495702,Mercedes-Benz,E-Class,2002,Blue
WBXPC93487W901796,Dodge,Neon,2003,Teal
WBAPL33539A844858,Infiniti,G,2005,Pink
JN8AZ2KR4BT615352,BMW,6 Series,2009,Crimson
4T1BF3EK3BU533924,Plymouth,Laser,1989,Teal
WBANA73565C566279,Mazda,Familia,1985,Green
WBAFB33511L524106,Toyota,Highlander,2006,Khaki
1FTEX1CM9DK779623,Cadillac,Eldorado,1999,Blue
WBAYB6C50DC650441,Mitsubishi,Montero,2000,Violet
3FA6P0PU0ER911599,Chevrolet,Silverado 1500,2001,Red
1FTKR1AD6BP993792,Ford,E-Series,1991,Violet
4USBT33453L055881,Acura,RL,2009,Maroon
5N1AN0NW8DN417082,Honda,Insight,2001,Purple
1GKS1CE0XER038827,Infiniti,Q,2004,Turquoise
5UMBT93506L956531,Chrysler,Cirrus,1997,Mauv
SCFAD01A36G137726,Mercury,Cougar,1989,Violet
1GYFC16229R005848,Volvo,XC70,2011,Violet
WVGEF9BP1DD235259,Lexus,SC,1994,Aquamarine
1FTKR1AD5AP666122,Subaru,Loyale,1993,Red
2V4RW3D13AR357406,Subaru,BRZ,2013,Pink
WAUAGAFD3EN760446,Kia,Sorento,2003,Green
1FTWW3B50AE944370,Toyota,Sienna,1998,Red
3FA6P0SU4DR157113,Lexus,LS,2002,Mauv
KNDMB5C19F6185734,Nissan,Altima,1994,Purple
1G6DG8E52C0759028,Porsche,911,1996,Green
5N1AR1NB5CC007647,Kia,Spectra,2000,Violet
1GD11ZCG4CF567498,BMW,M6,2006,Crimson
3N1AB6AP8AL038287,Audi,S4,1992,Purple
1GYUKHEF8AR092280,Ford,Courier,1987,Turquoise
WDDEJ9EB5EA142983,Pontiac,Grand Prix,1982,Goldenrod
WA1EY74L57D947740,Volkswagen,riolet,1993,Yellow
3GYVKLEF1AG082424,Suzuki,Reno,2005,Blue
WUAGNAFG1BN998226,Infiniti,G,2003,Indigo
3GTU1YEJ6BG982145,Infiniti,Q,1997,Yellow
WBAUT9C55BA274602,Toyota,Tercel,1993,Orange
WVGAV3AX5DW273582,Chevrolet,Corvette,1984,Purple
1GYS3KEF1CR989011,Volvo,S70,1998,Teal
SCFBB03C09G217630,Nissan,Murano,2012,Violet
5FNYF3H29AB488215,Geo,Tracker,1997,Teal
1YVHZ8BA1A5461655,Oldsmobile,Cutlass,1998,Fuscia
WBA3V5C5XEP183129,Nissan,Armada,2006,Goldenrod
4T1BD1EB5EU788167,Chevrolet,S10 Blazer,1992,Puce
WAUDL74F55N153996,Chevrolet,Suburban 2500,2005,Turquoise
5UXZW0C54CL636824,BMW,325,2005,Indigo
WA1CMAFEXDD361237,Acura,TL,1997,Green
JN1CV6EK3CM069034,Ford,Expedition,1999,Puce
5J6TF1H50EL670035,Lexus,SC,1994,Fuscia
JTDKN3DPXD3688547,Bentley,Continental GT,2009,Maroon
WAUTFAFH7CN562559,Land Rover,Discovery,2000,Pink
JTHBW1GGXE2301644,Saab,9-5,2007,Orange
3C3CFFAR2CT040619,Lotus,Elise,2009,Orange
JN1AZ4FH2FM186126,Mazda,CX-7,2008,Green
WAUDF58E55A888773,Lamborghini,Aventador,2012,Goldenrod
WA1YD64B75N077166,Subaru,Alcyone SVX,1995,Fuscia
WBAFR9C58CD554828,Mazda,RX-8,2006,Puce
JH4CL95915C600529,Lamborghini,Diablo,1994,Red
2G4WS55J531661918,Subaru,Leone,1987,Crimson
WBAWC3C56AP079660,Ford,E350,2008,Maroon
SCFEBBCF6CG628654,Ford,Taurus,2012,Blue
WBAUP93508V010614,Lexus,LS,2004,Aquamarine
1FTWX3B5XAE245907,Suzuki,XL7,2007,Maroon
1G6DV5EP3E0467039,Ford,F150,2009,Turquoise
WBAPM5C53BA110901,Mercury,Monterey,2006,Teal
5UXFA135X4L832727,Bentley,Continental GT,2008,Yellow
5GAKVAED9BJ785936,Mazda,Mazda6,2006,Indigo
WBALW3C54DC957835,Mazda,Mazda3,2006,Mauv
WAUWFAFHXBN149692,Hyundai,Tiburon,1997,Green
YV140MAK9F1368408,Mazda,CX-9,2011,Aquamarine
2LMHJ5FK4FB938709,Cadillac,DTS,2011,Blue
4T1BF3EK7BU618328,Bentley,Arnage,2008,Violet
WAUJC58EX4A279334,Hyundai,XG350,2002,Yellow
KMHHT6KD7DU595730,Toyota,Celica,1996,Yellow
WBANB335X4B036570,BMW,Z4,2005,Pink
3D73M4CL1BG505385,Infiniti,G,1994,Maroon
WVWED7AJ5DW136475,Honda,CR-V,2002,Pink
TRUDD38JX81893343,Buick,Regal,1997,Purple
KNAFT4A28B5466335,Chevrolet,Cobalt,2007,Yellow
1GYUKGEF8AR103482,Chevrolet,Cavalier,1992,Red
WA1YL54B44N491419,Toyota,Tercel,1995,Turquoise
WAUKG78E36A682210,Audi,R8,2008,Khaki
WBADS33471G782542,Chrysler,Town & Country,1992,Puce
YV1902MD0F1417664,Mercury,Mountaineer,2006,Aquamarine
