vin,brand,model,year,color
JTHBK1EG9C2260659,Kia,Optima,2002,Turquoise
WAUDF58E15A166426,Dodge,Daytona,1984,Yellow
1C3BCBEB0CN130569,Chevrolet,Astro,2004,Aquamarine
5J6TF2H55FL578023,Dodge,Durango,2007,Indigo
1G6KY54972U033180,Ford,F-Series Super Duty,2010,Aquamarine
1FTEW1CW3AF006719,Land Rover,Discovery Series II,2002,Khaki
WAUDF78E57A789336,Ford,Ranger,1986,Pink
JN1BY1AP2EM217829,Toyota,Solara,2001,Red
WBA3C3C52EK169250,Ford,Aerostar,1991,Goldenrod
WAUMFAFL2CN590407,Toyota,Celica,1997,Maroon
JH4NA216X5S033230,BMW,600,1958,Indigo
1G6DJ8EV3A0374947,GMC,Rally Wagon G3500,1995,Yellow
1GYUKGEF6AR564888,Isuzu,Amigo,2000,Red
5FNYF3H41FB871588,Dodge,Stratus,1996,Fuscia
1N6AA0CC7BN401636,Toyota,Yaris,2012,Fuscia
1G6AC1RX4F0825701,Chevrolet,Corvette,1961,Blue
KNAFU5A27B5181659,Mazda,929,1990,Khaki
WAUGF98K09A304702,Chevrolet,Cavalier,1996,Yellow
WBAKF3C50DJ941204,Ford,Escape,2007,Orange
2T2BK1BA7BC128142,Chevrolet,Astro,1996,Yellow
5J8TB2H21CA093880,Dodge,Ram 2500 Club,1998,Violet
2C3CDXGJ5DH727522,Chevrolet,Cavalier,1996,Mauv
WAUPN94E09N905541,Ford,Explorer Sport Trac,2000,Violet
1FTEW1E88AK223429,BMW,7 Series,1995,Green
5UXWX5C58BL300671,Nissan,Rogue,2010,Red
WBSBR93432P352039,Cadillac,Escalade EXT,2003,Purple
WVWAB7AJXDW725381,Buick,Skyhawk,1989,Orange
WAUFFAFLXAN151543,GMC,Vandura 1500,1992,Violet
WA1YL64B64N954859,Mitsubishi,3000GT,1994,Turquoise
3C4PDDDGXET075414,Subaru,Outback,2012,Goldenrod
5UXKR0C55E0723449,Mazda,626,1983,Violet
JN1BJ0HP6EM818939,Audi,S4,2005,Goldenrod
WA1VMBFE9CD260042,Honda,Element,2007,Orange
WAUUL98E28A956774,BMW,X3,2006,Aquamarine
WAUKH78EX7A280358,Lamborghini,Countach,1990,Green
WAUJT68E23A262385,Volkswagen,Touareg,2012,Turquoise
WA1UFAFL5EA619826,Chevrolet,Suburban 1500,2001,Violet
WBADX7C58BE099165,Chevrolet,Express 3500,2011,Red
WA1DKBFP6BA461125,Buick,Coachbuilder,1994,Pink
WAULFAFH8EN184786,Infiniti,QX,2004,Khaki
WAULH54B01N568443,GMC,1500 Club Coupe,1995,Yellow
WVWAN7AN5DE504383,Volkswagen,Jetta,1986,Orange
SCBZK22E92C002663,Nissan,Leaf,2011,Teal
JN1EY1AP6DM918658,Volkswagen,Passat,2007,Violet
5XYKT3A15CG734527,Mercedes-Benz,M-Class,2003,Purple
SCBGU3ZA5EC404114,Jeep,Patriot,2011,Goldenrod
1G6DU6EA4A0954331,Chevrolet,Monte Carlo,1997,Pink
1C4NJCBA0FD457239,Nissan,Xterra,2005,Fuscia
JN8AF5MV8FT341485,Toyota,T100,1997,Pink
3C63DRBL2CG300403,Ford,E-Series,2010,Puce
1C3BCBEB7DN478032,Buick,Skylark,1996,Puce
WAUBF78E26A063309,Mitsubishi,Montero Sport,2001,Teal
WAUDFAFL7FN774200,Chevrolet,Express 3500,2010,Crimson
2FMHK6CCXAB212905,Toyota,Land Cruiser,2010,Orange
WA1WKAFP2BA130822,Mazda,Mazda6,2005,Orange
2T1BURHE8EC669163,Lexus,LS,2003,Teal
YV4612HM4F1039619,Chevrolet,Express 2500,2005,Maroon
WBAKE5C50CE759542,Mazda,B-Series,1998,Fuscia
