vin,brand,model,year,color
2FMGK5DC7AB878785,Mercedes-Benz,300SE,1993,Crimson
3C6JR6CT7DG864152,GMC,Yukon,2004,Fuscia
1B3CB9HA9AD192443,Dodge,Challenger,2010,Green
TRUSC28N631724002,Pontiac,G3,2009,Crimson
JH4KB16597C007967,Ford,Explorer,2009,Puce
SCFAB22351K501328,Hummer,H3T,2009,Blue
3D7TP2CT6BG805970,Kia,Rio,2003,Turquoise
KMHCT4AE2FU708933,Suzuki,Daewoo Lacetti,2005,Mauv
1C4NJPBA5ED356266,Oldsmobile,Silhouette,1998,Puce
5UXZV4C54CL193388,Pontiac,Bonneville,2004,Fuscia
SAJWA4EB1EL235779,Land Rover,Defender 110,1993,Puce
1N6AA0CJ3EN465059,Porsche,944,1983,Red
1FTEW1CW5AK217430,Audi,S5,2010,Purple
1FTEX1EW6AF464717,Lexus,IS,2004,Goldenrod
5YMKW8C54F0156023,Mitsubishi,Mighty Max,1996,Teal
5UXFG43548L834575,Pontiac,Grand Prix,1971,Teal
1G4GA5GC5AF783190,Jeep,Grand Cherokee,1996,Crimson
WDDLJ7GB6FA619110,Lincoln,Continental,2000,Pink
1G6DK5EG3A0075603,Kia,Sportage,2005,Blue
WAUKH78E76A220293,Hyundai,Santa Fe,2003,Khaki
KNAFZ6A32F5803882,Honda,Accord,2006,Violet
WAUMV94E19N616073,Cadillac,SRX,2009,Crimson
1G6DL8EG7A0156554,Mercedes-Benz,S-Class,2009,Orange
KNALW4D47F6997033,Oldsmobile,Cutlass Supreme,1996,Mauv
1N6AD0CU9DN577087,Ferrari,599 GTB Fiorano,2008,Teal
WA1AGAFEXCD972009,Acura,TSX,2006,Indigo
1G6DM577790196220,Volvo,S60,2006,Blue
WBAYP1C56ED149716,Suzuki,Esteem,2001,Fuscia
1B3CB8HB4BD195626,Audi,A8,2008,Violet
WAUHF98P18A452162,Mitsubishi,Mirage,1984,Pink
WDCYC3HF9FX005342,GMC,Sierra Denali,2006,Fuscia
3C63D3FL8CG029533,Audi,Allroad,2004,Teal
TRURD38J081229204,Nissan,Maxima,2008,Indigo
1G6DJ5EY7B0249623,Ford,Escort,1990,Mauv
2FMHK6DT6AB342159,Chevrolet,Express 2500,2008,Yellow
WP0CA2A82AS118468,Oldsmobile,LSS,1998,Purple
WAUEFAFL8FA011758,Hyundai,XG350,2003,Teal
WBANE53577C973118,Buick,Riviera,1985,Turquoise
WDDNG7BB4AA612177,Audi,A8,1998,Aquamarine
WAUEH98E96A277863,Lotus,Esprit,1991,Crimson
1G6DA8E53C0483475,Ford,Ranger,1993,Goldenrod
1G6KF54941U055982,Mitsubishi,Montero,2000,Orange
SAJWA6BU7F8204316,Volkswagen,Passat,2005,Red
4JGDF2EE8FA245403,BMW,8 Series,1996,Green
WBA3C1C50CF418462,Mercedes-Benz,E-Class,1999,Orange
5J8TB4H39FL228620,Porsche,Boxster,1997,Indigo
3C6JD6DTXCG872435,Mercury,Grand Marquis,1993,Mauv
4A4AP3AU5FE285575,Toyota,Corolla,1996,Purple
WUAGNAFG1BN836001,Porsche,Boxster,1998,Yellow
WA1YD54B53N980391,Dodge,Intrepid,1997,Maroon
JTDZN3EU6D3178456,Dodge,Caravan,2003,Pink
5FRYD4H45GB159421,Ford,Explorer Sport Trac,2002,Puce
WBAVC735X8K871756,Toyota,TundraMax,2012,Red
5GAKRAKD3EJ179089,Oldsmobile,98,1996,Aquamarine
19UUA66288A308230,Volvo,S40,2004,Crimson
WA1VMBFP1EA429010,BMW,7 Series,1996,Puce
1G6DK5EV6A0731288,Ford,Laser,1986,Crimson
4T1BD1EB3FU333643,Ford,F-Series Super Duty,2011,Crimson
1N4AB7AP8DN158507,Mercedes-Benz,SLS AMG,2012,Puce
WDDEJ7KBXAA119430,BMW,Z3,1998,Violet
1C3BC7EGXBN165143,Chevrolet,2500,1999,Green
1G4HD57236U656685,Dodge,Stealth,1995,Teal
2C4RDGEG8FR620104,Ford,Mustang,1993,Red
WAUEH78E47A779864,Ford,Econoline E250,2001,Pink
1G6DA67V080581677,Lamborghini,Murciélago LP640,2008,Indigo
JH4KB16328C736134,BMW,X5,2002,Turquoise
1G6KD5EY8AU495621,Mazda,Navajo,1993,Goldenrod
WBAEN33443P427875,Ford,Econoline E150,1998,Khaki
1D7RV1CP6AS595312,Volvo,C70,2000,Mauv
1N6BF0KX0FN739864,Nissan,NX,1993,Fuscia
WAUSGAFC4CN778639,Buick,Century,1999,Green
3D73M4EL1BG203298,Isuzu,VehiCROSS,2000,Khaki
WBANN73546C646315,Toyota,Matrix,2007,Maroon
1N6AA0EJ0FN330782,GMC,Envoy,2003,Teal
JTDKDTB38F1686586,Porsche,911,2009,Blue
WBA3V9C50F5504647,GMC,Sierra 2500,2011,Goldenrod
WAUKH98E98A140749,Buick,Century,2000,Turquoise
WUARL48H29K288091,Dodge,Neon,2005,Pink
2C3CCAET6CH390085,Mitsubishi,Eclipse,2008,Violet
1D7RV1GT4BS968386,Chevrolet,Corvette,2011,Yellow
JN8AF5MR9BT193621,Ford,Explorer,2011,Red
WBAEK13577C775625,Porsche,944,1986,Violet
SCBCP73W08C347942,Kia,Sportage,1995,Maroon
