vin,brand,model,year,color
1GYS4HEF5BR246351,Mitsubishi,Montero Sport,2004,Khaki
SAJWA1CB7CL886851,Infiniti,I,1997,Orange
1G6DG5E50C0833674,Dodge,Ram Wagon B350,1992,Turquoise
JM1NC2EF5A0548843,Mazda,B-Series,1997,Fuscia
4USBT33564L187980,Mitsubishi,Montero,2004,Aquamarine
JH4KB16627C157461,Mitsubishi,Pajero,1985,Indigo
WBA3A9G50DN112545,Jeep,Grand Cherokee,2011,Blue
WVGAV3AX0EW974693,GMC,Yukon XL 1500,2005,Teal
1VWAP7A37EC364498,Cadillac,Seville,2003,Fuscia
5J8TB4H74GL134830,Mitsubishi,Outlander,2011,Yellow
SAJWA4EB9EL966475,Ford,F-Series Super Duty,2012,Goldenrod
WAUBFBFLXAN661721,Pontiac,Bonneville,2005,Pink
1N6AF0LX7EN272161,MINI,Cooper Clubman,2012,Red
3D7JB1EPXAG036310,MINI,Cooper Clubman,2009,Yellow
1B3AZ6JZ0AV174893,BMW,X3,2010,Turquoise
JM1NC2EF2A0780445,Mazda,B-Series Plus,1999,Goldenrod
WBA3B5G53DN331232,Volvo,XC70,2006,Blue
3VWA17AU7FM524518,Ram,C/V,2012,Yellow
SCBZB25E82C366505,Holden,VS Commodore,1997,Goldenrod
WBAYM9C57DD865935,Ford,Ranger,1999,Red
WAURFAFR6DA005878,Ford,GT,2005,Goldenrod
WAULC58E25A455139,Chevrolet,Tahoe,2008,Violet
1FADP5AU6EL688030,Nissan,Armada,2009,Aquamarine
JTHBE1BL8F1549955,Lotus,Exige,2012,Orange
WBA3A5C52FF361442,Infiniti,G,2004,Teal
WAUHMBFC8EN202063,Dodge,Aspen,1976,Fuscia
WAUBFBFL4AN925399,BMW,7 Series,1997,Aquamarine
5J8TB3H56FL916621,Mercedes-Benz,E-Class,2004,Fuscia
1G6DS1E33D0408375,Ford,EXP,1987,Fuscia
JN8AS5MT6DW346657,Jaguar,XJ Series,1996,Red
KNADH4A30B6180314,Dodge,Caliber,2011,Puce
WBAEB53598C887741,Ford,Escort,1986,Green
5GAEV23768J919553,Ford,Excursion,2004,Mauv
5NPDH4AE1DH857657,Saturn,S-Series,1999,Goldenrod
SALFR2BN4AH745480,Acura,TSX,2006,Indigo
5TDBW5G17ES212451,Mercedes-Benz,S-Class,1998,Green
TRUDD38J481872052,Jaguar,XJ Series,2001,Pink
WA1MMBFE8AD853366,Chevrolet,Cobalt,2006,Khaki
WAUKH74F18N906758,Cadillac,DTS,2009,Mauv
KM8NU4CC8BU855317,Ford,F350,2002,Blue
WA1MYBFE8AD289223,Mercedes-Benz,M-Class,2001,Pink
WAUFEBFM3BA591307,Chevrolet,Lumina APV,1992,Mauv
3LN6L2LU5ER848664,Mercury,Villager,1998,Turquoise
3VW467AT6DM479865,GMC,Jimmy,2001,Maroon
3G5DA03E14S734240,Ford,Taurus,2009,Turquoise
JN1CV6AP3BM362951,GMC,Jimmy,1994,Green
1FTEW1CM7EF353913,Mercedes-Benz,500E,1992,Orange
WBABS33452P475928,Saturn,Ion,2007,Orange
1N6AA0CC3FN156632,Honda,Accord,1994,Mauv
JM1DE1KY2D0040520,Hyundai,Elantra,2001,Blue
1C4AJWAG2FL770224,Porsche,Carrera GT,2005,Fuscia
WBAKB4C54CC717664,Chevrolet,Sportvan G10,1993,Goldenrod
WUARL48H29K601642,Dodge,Ram Van 3500,1996,Indigo
1D4PT2GK6BW719121,GMC,Sierra 3500HD,2006,Fuscia
