vin,brand,model,year,color
WAUJC58E75A168676,Acura,TSX,2009,Maroon
ZFBCFAAH4EZ889669,Porsche,Cayenne,2009,Turquoise
WBAVT73517F406998,Mercedes-Benz,W123,1977,Mauv
2C4RDGAG0CR586905,GMC,Yukon,2010,Indigo
WAUDF58E95A073721,Saab,900,1995,Yellow
WVGEF9BP9FD348489,Mitsubishi,Lancer Evolution,2011,Green
19UUA65544A622978,Infiniti,QX56,2008,Purple
WBALW3C57DC246145,Pontiac,GTO,1968,Violet
1G6DJ1E37C0157605,Porsche,928,1994,Indigo
WA1CMAFEXDD362792,Volkswagen,Routan,2011,Blue
2T1KU4EE3DC016648,Dodge,Dakota,2007,Maroon
1GYS3BEF7DR334658,Mercury,Sable,1993,Indigo
1FBAX2CM7FK389762,Dodge,Charger,2011,Mauv
3D73Y3HL0BG559459,Dodge,Nitro,2009,Turquoise
4T1BD1EB9FU276476,Cadillac,Escalade ESV,2010,Indigo
WAUUL78E47A737785,Oldsmobile,LSS,1998,Orange
WA1AGAFE3CD822209,Pontiac,Firebird,2000,Purple
WAUEH74F98N206094,Lamborghini,Murciélago,2004,Indigo
JM1NC2MF4D0784339,Ford,F250,2003,Mauv
1J4NF1FB9AD978228,Lexus,RX Hybrid,2007,Fuscia
1FMEU5DE4AU810358,Ford,E150,2008,Blue
WAUKF78E67A428253,Ford,F250,2012,Yellow
1G6AE1RX5F0989534,Jeep,Wrangler,1997,Indigo
YV4902BZ5E1740706,Chevrolet,Sportvan G10,1992,Purple
19UUA65585A729887,Volkswagen,Phaeton,2006,Red
WBAVA33597P000900,Mercedes-Benz,C-Class,2011,Teal
KMHTC6AD1CU329355,Volkswagen,Touareg,2005,Teal
1G6DH8EY9B0688142,Suzuki,X-90,1998,Yellow
19UUA8F24CA658507,Chevrolet,Aveo,2005,Green
ZFBCFAAH2EZ578449,Audi,RS 4,2007,Blue
2FMHK6DT5AB903385,Volvo,C70,2013,Crimson
WAUVT58E85A119164,Nissan,Altima,2004,Maroon
WBAFB33541L759633,Jeep,Compass,2011,Aquamarine
3D7TT2CT3AG003337,Mercedes-Benz,G-Class,2003,Yellow
WVGAV7AXXAW372546,Cadillac,CTS,2008,Fuscia
5NPDH4AE0FH854770,Mitsubishi,Lancer Evolution,2006,Fuscia
1G6DE8EY9B0692040,GMC,2500,1998,Pink
5N1AN0NW9EN319891,Chevrolet,Silverado,2011,Orange
2C3CDXEJ3CH034823,Cadillac,DTS,2008,Yellow
JTDKN3DP2E3530320,Cadillac,DTS,2010,Teal
5N1CR2MN0EC649819,Eagle,Summit,1995,Mauv
WAUDF78E35A274915,Chevrolet,Suburban 1500,2006,Khaki
3D4PG1FG0BT853642,Lincoln,Town Car,2000,Indigo
WBAEJ13471A173272,MINI,Cooper Clubman,2012,Turquoise
WAUKG78E26A858955,GMC,Envoy,2004,Green
3D73Y4CL5AG107535,Volvo,V40,2002,Khaki
KMHTC6AD7FU340459,Hyundai,Elantra,2010,Red
1FTEX1CM4BF263269,Subaru,Forester,2012,Red
WBADX7C54DP508947,Chevrolet,1500,1999,Indigo
3N1CN7AP7EK547658,Chevrolet,Corvette,1988,Blue
1FTWW3CY2AE565170,Cadillac,Fleetwood,1992,Red
WAUAF78E97A393378,Honda,CR-V,2007,Fuscia
