vin,brand,model,year,color
WAULF78K89N075455,Toyota,Highlander,2008,Yellow
WBA3C1C5XEK898519,Buick,Skylark,1993,Indigo
JTDKN3DP0E3909784,Chevrolet,G-Series 3500,1997,Red
WAUSG78EX6A396418,Mazda,626,1985,Aquamarine
WBALM73579E448993,Toyota,Tacoma,2005,Green
WDDEJ8GB0AA014491,Ford,Taurus X,2008,Goldenrod
1GYUKDEF9AR705225,Chevrolet,G-Series 2500,1997,Yellow
JH4DC54803C794117,Toyota,Celica,1983,Purple
1D7RE3GK3AS351353,Ford,Explorer,2010,Pink
2C4RDGEG5DR194160,Ford,Econoline E350,1998,Yellow
19XFB2E50EE491754,Volkswagen,Scirocco,1988,Pink
WAUKF98EX7A353410,Ford,E-Series,2007,Teal
WBAKB4C50BC568541,BMW,525,2006,Puce
WAUPEAFM7BA788866,GMC,2500 Club Coupe,1994,Khaki
TRUSC28N921221336,Dodge,Intrepid,1997,Green
WBSKG9C51DJ032089,GMC,Sierra 2500,1999,Blue
2FMDK4KC5AB192521,BMW,X5,2008,Puce
1G6AH5S30F0246141,Honda,Accord,1991,Indigo
JN1CV6EK3EM126707,BMW,M3,1995,Green
WBAGL63464D686158,Mercury,Tracer,1997,Violet
WAUSH78E28A120489,Mitsubishi,Eclipse,1997,Violet
2T1KU4EE9CC132127,GMC,Sierra 2500,2012,Goldenrod
2T1BURHEXEC149854,Subaru,Alcyone SVX,1996,Orange
WP0AB2A98FS565942,Toyota,Land Cruiser,2009,Teal
4T1BD1FK4EU000185,Nissan,Pathfinder,1995,Maroon
WAUVT64B94N322928,Lexus,GS,2007,Yellow
3VWJX7AJ7AM956202,MINI,Cooper,2010,Fuscia
WDDEJ7EBXEA105691,Mercedes-Benz,E-Class,1990,Pink
WBAFR9C55CC385762,Lamborghini,Gallardo,2010,Aquamarine
WA1VYAFEXAD309356,Toyota,Yaris,2008,Mauv
5J8TB4H55EL697011,Ford,Explorer,2008,Pink
5UXWX9C59D0169651,Ford,Econoline E350,1999,Yellow
1N6AD0CW1FN994904,Hyundai,Elantra,2013,Aquamarine
JM3TB2BA0D0232359,Mazda,Mazda6,2004,Yellow
19XFB2F54DE171009,Ford,Bronco II,1985,Teal
JN1AZ4EH2EM999580,GMC,Savana 3500,2011,Red
2G4WS55J331959948,Audi,S4,2002,Puce
WBA3B1C50EP203440,Saab,9-5,1999,Turquoise
