vin,brand,model,year,color
5N1AT2MK9EC306893,Acura,RL,1996,Goldenrod
3C4PDDAG6ET069811,Lexus,RX Hybrid,2010,Yellow
1FTSX2B53AE303168,Eagle,Talon,1997,Turquoise
1G6DL8EG5A0455864,GMC,Canyon,2011,Khaki
1G6AC5SX8E0491723,Toyota,Yaris,2010,Purple
SAJWA0JHXEM198860,GMC,Savana 3500,2002,Blue
WA1DGAFPXEA964706,Toyota,4Runner,2000,Puce
SCBBP9ZA3BC376734,Spyker,C8,2005,Red
2G61V5S82F9861199,Mercury,Grand Marquis,1984,Blue
WBASN4C58CC890224,GMC,Terrain,2010,Khaki
WAUKFBFL7EA556146,Hyundai,Santa Fe,2004,Orange
WDDDJ7CBXBA085341,Mercury,Capri,1985,Red
WAUDF98E18A144583,Mazda,Mazda5,2006,Green
WBADT33471G207306,Subaru,Legacy,2000,Yellow
WAUEFAFL5AN696092,Volkswagen,Routan,2011,Pink
1C3CDFCA2DD523242,Ford,Five Hundred,2005,Puce
1FTEW1C89AK196728,Lincoln,Continental,1984,Red
JTDKDTB32E1595036,Oldsmobile,Aurora,2002,Green
1FTSX2B58AE334111,Audi,Quattro,1994,Yellow
KL4CJHSB8DB987538,Porsche,944,1986,Mauv
WBAWV13559P121875,Aston Martin,Rapide,2010,Khaki
JN1CV6AP1CM948887,Porsche,944,1987,Indigo
1C3BC6EV6AN739440,Lexus,ES,2011,Goldenrod
WAUVC58E55A936365,Buick,Lucerne,2009,Orange
WA1CYAFE1AD945297,Dodge,Neon,1995,Blue
1FTMF1E83AF903209,Pontiac,6000,1985,Aquamarine
WAUNF78P97A305061,Honda,CR-V,2007,Aquamarine
KMHDB8AE1CU434666,Ford,Th!nk,2000,Khaki
1FMCU5K34AK023527,Isuzu,Impulse,1992,Mauv
WAUKF98E38A417496,Nissan,Quest,1994,Crimson
WBAKF5C54BE354148,Chrysler,Concorde,1993,Aquamarine
WBAWB33567P926575,Ford,Ranger,1992,Orange
WP0AA2A91BS046938,Lincoln,Navigator,2000,Purple
JTHKD5BH2C2347012,Porsche,Carrera GT,2004,Purple
3N1AB7AP6FY296534,Volvo,XC90,2005,Teal
5FNYF3H28BB425916,Hyundai,Elantra,2010,Mauv
1FMCU4K39AK452219,BMW,M3,2012,Aquamarine
3D73Y4CL2AG908584,Toyota,4Runner,2000,Mauv
1FMHK7B82BG491490,Porsche,Boxster,2010,Violet
5UXFB53584L667491,Land Rover,Freelander,2001,Crimson
1G6DJ5ED5B0190620,Infiniti,G37,2011,Turquoise
2G4WB55K341471240,GMC,Sierra,2012,Khaki
WVWGU7AN8CE904207,Lincoln,MKS,2009,Crimson
1N6AF0KY5EN478704,Audi,100,1989,Aquamarine
2HNYD18684H999601,BMW,745,2003,Purple
2C3CCARG8FH152210,Cadillac,Escalade EXT,2009,Teal
1G4GF5E30DF112888,Dodge,Caravan,1992,Indigo
WBAYB6C54FD177933,Audi,R8,2011,Khaki
19XFB2F50EE727107,Saturn,L-Series,2003,Violet
SALFP2BN4BH617120,Suzuki,Equator,2010,Teal
JM1GJ1U56F1502019,Pontiac,Sunbird,1992,Purple
19VDE3F31DE617547,Lamborghini,Diablo,1992,Orange
1G6AM5S34D0283878,Mercedes-Benz,G-Class,2005,Orange
1FTSW2B55AE323344,Ford,Laser,1988,Khaki
WAUKH74F37N651254,Scion,xB,2006,Violet
4T1BF3EK4AU975786,Ford,E250,2005,Fuscia
1FMEU7FE7AU975765,Honda,Civic,1980,Red
WAUAFAFC9CN447165,Chevrolet,Silverado 3500,2012,Green
3FAHP0CG7AR910579,Infiniti,QX,1997,Mauv
1G6DE5EY0B0826500,Lexus,LS,2005,Turquoise
WBAWL13597P231198,Suzuki,Swift,1995,Aquamarine
JN1CV6AP3AM615216,Ford,E150,2009,Violet
1FTMF1CW2AK231992,Dodge,Ram 2500 Club,1999,Blue
WA1CGCFE4BD099098,Mercedes-Benz,C-Class,1993,Purple
WVGEF9BP2ED300881,Hummer,H3,2007,Aquamarine
JN1BJ0HP3EM972833,BMW,M3,1995,Yellow
WBS3U9C5XFJ788715,Plymouth,Voyager,1994,Mauv
5TDBKRFH0ES042208,Hyundai,Elantra,2013,Aquamarine
1G6DK1E35D0587146,Infiniti,G,2008,Fuscia
JN1CV6FE7DM065031,Oldsmobile,Regency,1998,Indigo
WA1C8BFP5DA897607,Toyota,Corolla,2010,Pink
1G6AE5S35D0097019,Lamborghini,Gallardo,2010,Indigo
3D73M4CL8BG622395,Volkswagen,Tiguan,2010,Green
1FTEX1CV0AF515929,Lexus,ES,2012,Turquoise
5UXFE83538L228388,Chevrolet,Corvette,1969,Pink
JN8AF5MR5DT929649,Nissan,300ZX,1992,Violet
2C3CCAKG4DH430575,Jaguar,XK Series,1998,Aquamarine
5N1AR2MM2EC403336,Chevrolet,Camaro,1980,Indigo
1FMCU4K32CK944352,Mercury,Capri,1993,Green
WBAXH5C58DD340147,Kia,Rio,2001,Blue
1GD21ZCG5DZ767603,Cadillac,STS,2011,Aquamarine
WVGAV7AX5BW741850,Infiniti,M,2004,Violet
2C3CCADG3DH552342,Mazda,RX-7,1991,Violet
ZHWGU5BZXCL113458,Lincoln,Continental,2001,Mauv
WBAWR33527P176068,Honda,CR-V,2003,Mauv
WBADX1C54BE801737,Audi,Q7,2010,Red
3C4PDDDG5ET426309,Toyota,Highlander,2011,Purple
JH4DC53865S885287,Volkswagen,Beetle,1967,Green
1G6AC5SX1E0972199,Mercedes-Benz,SL-Class,2004,Mauv
WAU4FAFR3DA329123,Lotus,Esprit,1992,Indigo
1GD12XEG7FF318342,GMC,Sierra 1500,2000,Orange
JH4DC53872C838419,Chevrolet,Corvette,2008,Purple
JN8CS1MW3FM699349,Dodge,Intrepid,1999,Green
JTDKTUD30ED736500,Mazda,626,1991,Fuscia
WBAYA6C50FG607295,Mercedes-Benz,CLK-Class,1998,Goldenrod
WBALM7C55EJ713640,Volvo,S80,2012,Khaki
